,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40
3200,12 967,13 037,13 091,13 064,13 035,13 005,12 972,12 938,12 902,12 763,12 300,11 838,11 375,10 913,10 450,9 988,9 525
3100,13 155,13 173,13 184,13 153,13 122,13 090,13 058,13 024,12 990,12 904,12 450,11 986,11 523,11 059,10 595,10 131,9 668
3000,13 343,13 310,13 276,13 242,13 209,13 176,13 143,13 110,13 077,13 045,12 600,12 135,11 670,11 205,10 740,10 275,9 810
2900,13 429,13 382,13 339,13 300,13 264,13 232,13 204,13 180,13 159,13 142,12 741,12 278,11 815,11 352,10 889,10 426,9 963
2800,13 514,13 455,13 402,13 357,13 319,13 289,13 265,13 249,13 240,13 239,12 882,12 421,11 960,11 499,11 038,10 577,10 116
2700,13 606,13 552,13 504,13 461,13 423,13 391,13 363,13 341,13 324,13 312,13 081,12 606,12 132,11 657,11 182,10 708,10 233
2600,13 697,13 650,13 606,13 565,13 527,13 493,13 461,13 433,13 408,13 386,13 280,12 792,12 303,11 815,11 327,10 838,10 350
2500,13 778,13 727,13 679,13 636,13 597,13 563,13 532,13 506,13 484,13 467,13 397,12 917,12 436,11 955,11 475,10 994,10 513
2400,13 860,13 804,13 753,13 707,13 667,13 632,13 603,13 579,13 561,13 548,13 515,13 042,12 569,12 096,11 623,11 150,10 677
2300,13 929,13 873,13 823,13 779,13 741,13 709,13 682,13 661,13 646,13 636,13 620,13 210,12 735,12 260,11 784,11 309,10 834
2200,13 998,13 943,13 894,13 851,13 815,13 785,13 761,13 743,13 731,13 725,13 725,13 378,12 901,12 423,11 946,11 469,10 991
2100,14 064,14 010,13 963,13 922,13 887,13 858,13 835,13 819,13 809,13 805,13 808,13 538,13 058,12 578,12 098,11 618,11 138
2000,14 130,14 078,14 032,13 992,13 958,13 931,13 910,13 896,13 888,13 886,13 890,13 699,13 216,12 733,12 250,11 768,11 285
1900,14 199,14 146,14 100,14 060,14 026,13 997,13 975,13 959,13 949,13 944,13 946,13 792,13 400,12 909,12 418,11 926,11 435
1800,14 267,14 215,14 169,14 128,14 093,14 064,14 040,14 022,14 010,14 003,14 002,13 886,13 585,13 085,12 585,12 085,11 584
1700,14 336,14 284,14 237,14 196,14 160,14 130,14 105,14 085,14 071,14 062,14 058,13 979,13 769,13 260,12 752,12 243,11 734
1600,14 405,14 353,14 306,14 264,14 228,14 196,14 170,14 148,14 132,14 120,14 114,14 073,13 953,13 436,12 919,12 401,11 884
1500,14 473,14 421,14 375,14 332,14 295,14 262,14 234,14 211,14 193,14 179,14 170,14 166,14 138,13 612,13 086,12 560,12 034
1400,14 503,14 450,14 402,14 360,14 322,14 290,14 263,14 241,14 224,14 213,14 207,14 206,14 187,13 771,13 269,12 729,12 189
1300,14 534,14 479,14 430,14 387,14 349,14 317,14 291,14 271,14 256,14 247,14 243,14 245,14 236,13 930,13 452,12 898,12 344
1200,14 564,14 508,14 458,14 414,14 376,14 345,14 320,14 300,14 287,14 280,14 279,14 285,14 285,14 090,13 634,13 067,12 500
1100,14 594,14 537,14 486,14 441,14 404,14 373,14 348,14 330,14 319,14 314,14 316,14 324,14 334,14 249,13 817,13 236,12 655
1000,14 624,14 565,14 513,14 469,14 431,14 400,14 377,14 360,14 350,14 348,14 352,14 364,14 383,14 408,14 000,13 405,12 810
900,14 623,14 567,14 517,14 475,14 439,14 410,14 388,14 373,14 365,14 363,14 369,14 381,14 401,14 427,14 063,13 532,12 983
800,14 622,14 568,14 521,14 481,14 447,14 420,14 400,14 386,14 379,14 379,14 386,14 399,14 419,14 446,14 127,13 659,13 156
700,14 621,14 570,14 525,14 487,14 455,14 430,14 411,14 399,14 394,14 395,14 402,14 417,14 437,14 465,14 190,13 786,13 330
600,14 620,14 571,14 529,14 493,14 463,14 439,14 423,14 412,14 408,14 410,14 419,14 434,14 456,14 484,14 253,13 913,13 503
500,14 619,14 573,14 533,14 499,14 471,14 449,14 434,14 425,14 422,14 426,14 436,14 452,14 474,14 502,14 317,14 040,13 676
400,14 618,14 574,14 536,14 504,14 479,14 459,14 446,14 438,14 437,14 441,14 452,14 469,14 492,14 521,14 380,14 167,13 849
300,14 617,14 576,14 540,14 510,14 487,14 469,14 457,14 451,14 451,14 457,14 469,14 487,14 510,14 540,14 443,14 294,14 022
200,14 616,14 577,14 544,14 516,14 495,14 479,14 469,14 464,14 466,14 473,14 486,14 504,14 529,14 559,14 507,14 422,14 196
100,14 615,14 579,14 548,14 522,14 503,14 489,14 480,14 477,14 480,14 488,14 502,14 522,14 547,14 578,14 570,14 549,14 369
0,14 614,14 580,14 552,14 528,14 511,14 498,14 492,14 490,14 494,14 504,14 519,14 539,14 565,14 597,14 633,14 676,14 542
